#  m,M -> b,B
# x-axis: "(p1+p3)^2Diff. cross section [pb"  from -14000.000000 to -0.040000 N_bins= 300
# E = 120 GeV
# s section [pb/GeV^2]
-8.983348E+03 9.645516E-04 +/-  1.400066E-05
-8.936681E+03 9.672044E-04 +/-  1.404527E-05
-8.890015E+03 9.749405E-04 +/-  1.414278E-05
-8.843348E+03 9.808823E-04 +/-  1.415405E-05
-8.796682E+03 9.854948E-04 +/-  1.390542E-05
-8.750015E+03 9.945103E-04 +/-  1.399535E-05
-8.703348E+03 9.994009E-04 +/-  1.407387E-05
-8.656682E+03 1.004790E-03 +/-  1.415677E-05
-8.610015E+03 1.012555E-03 +/-  1.425665E-05
-8.563349E+03 1.017708E-03 +/-  1.433999E-05
-8.516682E+03 1.025234E-03 +/-  1.443931E-05
-8.470016E+03 1.032577E-03 +/-  1.452658E-05
-8.423349E+03 1.039509E-03 +/-  1.461771E-05
-8.376683E+03 1.046196E-03 +/-  1.468234E-05
-8.330016E+03 1.054047E-03 +/-  1.441632E-05
-8.283350E+03 1.058788E-03 +/-  1.447247E-05
-8.236683E+03 1.068567E-03 +/-  1.458877E-05
-8.190017E+03 1.075040E-03 +/-  1.468383E-05
-8.143350E+03 1.082850E-03 +/-  1.478911E-05
-8.096684E+03 1.089581E-03 +/-  1.488674E-05
-8.050017E+03 1.098867E-03 +/-  1.499952E-05
-8.003350E+03 1.105955E-03 +/-  1.507718E-05
-7.956684E+03 1.114160E-03 +/-  1.518188E-05
-7.910017E+03 1.122155E-03 +/-  1.508395E-05
-7.863351E+03 1.129084E-03 +/-  1.493930E-05
-7.816684E+03 1.138966E-03 +/-  1.505961E-05
-7.770018E+03 1.147360E-03 +/-  1.517050E-05
-7.723351E+03 1.154694E-03 +/-  1.527546E-05
-7.676685E+03 1.164826E-03 +/-  1.539886E-05
-7.630018E+03 1.172597E-03 +/-  1.549450E-05
-7.583352E+03 1.181470E-03 +/-  1.559685E-05
-7.536685E+03 1.190795E-03 +/-  1.571033E-05
-7.490019E+03 1.198310E-03 +/-  1.557383E-05
-7.443352E+03 1.209660E-03 +/-  1.551550E-05
-7.396686E+03 1.217106E-03 +/-  1.562255E-05
-7.350019E+03 1.228435E-03 +/-  1.575508E-05
-7.303352E+03 1.235086E-03 +/-  1.585415E-05
-7.256686E+03 1.247533E-03 +/-  1.599007E-05
-7.210019E+03 1.254878E-03 +/-  1.608311E-05
-7.163353E+03 1.266890E-03 +/-  1.621958E-05
-7.116686E+03 1.275496E-03 +/-  1.622916E-05
-7.070020E+03 1.285869E-03 +/-  1.601021E-05
